X,Y,OBJECTID,Project,BLM_AdminState,District,FieldOffice,EvaluationID,PointID,StreamName,FieldEvalDate,SampledMidLatitude,SampledMidLongitude,BottomReachLatitude,BottomReachLongitude,TopReachLatitude,TopReachLongitude,ProtocolReachLength,ProtocolType,ProtocolVersion,FieldStatus,PointSelectionType,OriginalDesign,OriginalStratum,StreamOrder,EcoregionStreamSize,PctOverheadCover,PctBankOverheadCover,VegComplexity,VegComplexityWoody,VegComplexityUnderstoryGround,PctNoxiousWoodySpecies,PctNativeWoodySpecies,PctNoxiousHerbSpecies,PctSedgeRushSpecies,PctEquisetumSpecies,InvasiveInvertSpecies,ObservedInvertRichness,ExpectedInvertRichness,OE_Macroinvertebrate,MMI_Macroinvertebrate,OE_MMI_ModelUsed,OE_MMI_ModelApplicability,MacroinvertebrateCount,TotalNitrogen,TotalPhosphorous,SpecificConductance,pH,InstantTemp,AugTempAvg,TurbidityAvg,PoolCount,PctPools,PoolFreq,ResPoolDepthAvg,LgWoodInChanCount,LgWoodInChanFreq,LgWoodInChanVol,LgWoodAboveChanCount,LgWoodAboveChanFreq,LgWoodAboveChanVol,PctFinesLessThan2mm,PctFinesLessThan6mm,D16,D84,D50,GeometricMeanParticleDiam,PctPoolTailFinesLessThan2mm,PctPoolTailFinesLessThan6mm,PctBankCoveredMIM,PctBankStable,PctBankCoveredStableMIM,PctBankCoveredOld,PctBankCoveredStableOld,BankfullHeightAvg,BenchHeightAvg,BankfullDepthAvg,BenchDepthAvg,ChannelIncision,FloodplainConnectivity,InstreamHabitatComplexity,BankAngleAvg,PctBanksUndercut,ThalwegDepthCV,ThalwegDepthAvg,PctDry,BankfullWidthAvg,WettedWidthAvg,WettedWidthWithBarAvg,EntrenchmentRiffle1,EntrenchmentRiffle2,PctSlope,Sinuosity,HumanInfluence,BeaverFlowMod,BeaverSigns,WaterWithdrawals,SideChannels,CoreSubset,GreenlineVegComposition,EvaluationID_OLD,RecordID,GlobalID
-108.5362059,42.45753774,4133,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-37253_2022-07-09,LA-SS-37253,Deep Creek,2022/07/09 08:48:00+00,42.45754424,-108.5362172,42.45725633,-108.5357244,42.45797225,-108.5366936,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,1,EasternXericBasin_SmallWadeable,19,22.5,,,,,68,,100,68,,,,,,,,,,,105.1,7.23,13.6,14.13,,1,8.33,6.7,0.47,0,0,0,0,0,0,96.2,96.7,1,1,1,1,,,50,67,40,,,0.19,0.28,0.3,0.38,-0.73,1.36,,146,4,0.81,0.1,0,1.35,0.57,0.57,3,1.29,1.4,1.33,"LandfillTrash, LivestockHorseBurro",None,Absent,Absent,Absent,No,Yes,,LA-SS-37253_2022-07-09,{B9EECDBA-4D77-4D42-A5EB-636870AEF02E}
-108.5846218,42.45357384,4134,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-14510_2022-07-10,LA-TR-14510,Strawberry Creek,2022/07/10 08:18:00+00,42.45358033,-108.5846331,42.45333561,-108.5850885,42.45388796,-108.5841351,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Interrupted Flow,Targeted,,,2,EasternXericBasin_SmallWadeable,47.1,77.8,,,,,100,50,100,55,,,,,,,,,,,248.2,6.95,13.9,14.06,,,,,,0,0,0,0,0,0,64.8,67.1,1,29,1,3,,,64,83,57,,,0.44,0.64,0.57,0.77,-0.53,1.37,,118,23,,0.06,56.5,2.76,0.73,0.73,1.47,1.79,1.09,1.51,"LandfillTrash, LivestockHorseBurro",Minor,Common,Absent,Absent,No,Yes,,LA-TR-14510_2022-07-10,{8D84A962-14CB-4029-9D5C-F3382C09533B}
-108.017485,42.65973694,4228,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-1095_2022-07-20,LA-TR-1095,West Long Creek,2022/07/20 10:31:00+00,42.6597435,-108.0174962,42.65937196,-108.0167478,42.65992542,-108.0182826,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Interrupted Flow,Targeted,,,3,EasternXericBasin_SmallWadeable,6.7,34,,,,,100,,86,5,,,,,,,,,,,548,8.12,20.3,15.15,,,,,,0,0,0,0,0,0,33.2,36.5,1,96,16,12,,,81,98,81,,,0.41,0.5,0.59,0.68,-0.71,1.14,,160,0,,0.19,42.2,7.27,3.02,3.02,1.48,1.25,0.5,1.07,"LivestockHorseBurro, LoggingOperations",None,Absent,Absent,Absent,No,Yes,,LA-TR-1095_2022-07-20,{7E9355F1-1417-4646-8CAD-FDC507DDD3E8}
-108.7544137,42.3788961,4232,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-LS-65641_2022-07-22,LA-LS-65641,Sweetwater River,2022/07/22 10:21:00+00,42.37890257,-108.754425,42.37827852,-108.7534165,42.37843434,-108.7553354,226,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,4,EasternXericBasin_LargeWadeable,0,48.9,,,,,100,,100,68,,,,,,,,,,,55.6,8.24,17.3,16.76,,1,36.46,4.4,1.15,2,0.885,0.039,0,0,0,51.3,51.3,1,62,2,8,,,60,90,60,,,0.21,0.25,0.85,0.88,-0.87,1.05,,142,9,0.54,0.65,0,12.92,11.6,11.69,1.56,1.24,0.36,1.43,"LivestockHorseBurro, RoadRailroadCulvert",Minor,Common,Absent,Absent,No,Yes,,LA-LS-65641_2022-07-22,{131987A3-1A8E-4BDF-BA29-62F30F834A92}
-107.6504949,42.32043331,4241,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-73296_2022-07-25,LA-TR-73296,Willow Creek,2022/07/25 10:34:00+00,42.32043986,-107.6505059,42.32099231,-107.6502387,42.31996091,-107.6508686,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,1,EasternXericBasin_SmallWadeable,43.6,55.1,,,,,100,27,100,100,,,,,,,,,,,83.8,7.46,10.5,,,0,0,0,,13,8.667,0.983,7,4.667,1.175,90,92.8,1,2,1,2,,,95,95,95,,,0.18,0.24,0.32,0.38,-0.79,1.19,,121,4,0.31,0.13,0,0.82,0.43,0.43,3,1.41,4.43,1.19,RoadRailroadCulvert,Minor,Rare,Absent,Absent,No,Yes,,LA-TR-73296_2022-07-25,{74B9C582-4329-4384-9B4F-074B1815B66A}
-109.7465541,43.57741697,4293,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-RV-70870_2022-08-02,LA-RV-70870,Wind River,2022/08/02 11:11:00+00,43.57742349,-109.7465658,43.57783351,-109.7448843,43.57802526,-109.7488746,437,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,5,EasternXericBasin_LargeWadeable,0,68.4,,,,,100,68,91,73,,,,,,,,,,,171,8.18,13.3,13.7,,2,13.99,4.6,0.68,12,2.746,6.256,0,0,0,21.9,22.9,2,300,118,58,,,76,83,71,,,0.36,0.46,0.98,1.08,-0.7,1.11,,134,18,0.36,0.63,0,21.37,18.94,19.13,3,3,0.48,1.36,"Buildings, HydrologicAlterations, LivestockHorseBurro, ParksLawns, PastureHayFence, PavementClearedLot, PowerlinePipeline, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-RV-70870_2022-08-02,{D7852054-DB58-45CE-BD2B-4AAA4FFA916E}
-107.6580377,42.32467721,4294,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-70739_2022-08-06,LA-TR-70739,Willow Creek,2022/08/06 11:40:00+00,42.32468376,-107.6580488,42.32471643,-107.657368,42.32458729,-107.6586285,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,1,EasternXericBasin_SmallWadeable,14.7,35.8,,,,,32,14,100,86,,,,,,,,,,,114.3,7.12,17.8,,,0,0,0,,12,8,0.626,0,0,0,98.5,100,1,2,1,1,,,100,100,100,,,0.15,0.21,0.22,0.28,-0.8,1.27,,126,9,0.5,0.06,0,0.7,0.47,0.47,1.22,3,3.6,1.43,LivestockHorseBurro,None,Rare,Absent,Absent,No,Yes,,LA-TR-70739_2022-08-06,{88E3D21A-A7D4-40DA-BE0C-3E3D748FACDF}
-107.350221,42.47254194,4337,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-RV-28229_2022-08-04,LA-RV-28229,Sweetwater River,2022/08/04 11:51:00+00,42.47254853,-107.350232,42.47177003,-107.3500936,42.47284243,-107.3514855,284,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,5,EasternXericBasin_LargeWadeable,0,64.2,,,,,18,100,86,64,,,,,,,,,,,387.1,8.62,23.3,19.01,,1,12.93,3.5,0.57,0,0,0,0,0,0,66.2,74.3,2,24,2,5,,,79,71,71,,,0.43,0.62,0.81,1,-0.54,1.26,,126,23,0.45,0.41,0,14.32,10.67,11.39,3,1.07,0.06,1.72,"Buildings, LandfillTrash, LivestockHorseBurro, PastureHayFence, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-RV-28229_2022-08-04,{AE2C88C9-3F01-4A36-9F88-98F622A588C0}
-107.2624038,42.58625448,4338,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-LS-32325_2022-08-05,LA-LS-32325,Dry Creek,2022/08/05 09:01:00+00,42.5862611,-107.2624148,42.58567604,-107.2624144,42.58659572,-107.2616654,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,4,EasternXericBasin_SmallWadeable,10.6,77.5,,,,,64,68,100,100,,,,,,,,,,,491,7.92,19.1,16.94,,4,26.67,26.7,0.32,0,0,0,0,0,0,60,60.5,1,86,2,6,,,90,90,86,,,0.25,0.36,0.63,0.73,-0.69,1.18,,83,59,0.69,0.32,0,3.21,2.8,2.8,3,1.81,0.41,1.26,"LandfillTrash, LivestockHorseBurro, PastureHayFence",None,Absent,Absent,Absent,No,Yes,,LA-LS-32325_2022-08-05,{129184BD-CA98-4AF8-AF3D-B1972147A12E}
-108.6765133,42.54365588,4339,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-62085_2022-08-06,LA-SS-62085,Beaver Creek,2022/08/06 09:48:00+00,42.54366238,-108.6765246,42.54347696,-108.6756737,42.54408095,-108.6767405,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,2,NorthernRockies_SmallWadeable,50.4,69.3,,,,,100,,91,95,,,,,,,,,,,,8.5,16,11.93,,3,13.38,20,0.33,2,1.333,0.242,1,0.667,1.676,22,23,2,650,45,54,,,100,100,100,,,0.27,0.28,0.54,0.56,-0.94,1.02,,131,24,0.43,0.25,0,3.37,2.6,2.6,3,2.29,2.17,1.36,"LandfillTrash, LivestockHorseBurro, PastureHayFence, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-SS-62085_2022-08-06,{2B669339-DF90-43CD-981E-BA419340D497}
-108.4289627,42.34228228,4459,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-48261_2022-09-04,LA-SS-48261,Middle Fork Sulphur Creek,2022/09/04 12:01:00+00,42.34228877,-108.4289739,42.34230472,-108.4289904,42.34256199,-108.4295131,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Partial Reach,RandomGRTS,,,1,EasternXericBasin_SmallWadeable,0,0,,,,,0,,100,0,,,,,,,,,,,,8.75,18.1,14.92,,0,0,0,,0,0,0,0,0,0,88.2,93.6,1,2,1,1,,,100,100,100,,,0.11,0.18,0.26,0.33,-0.77,1.29,,114,0,0.38,0.14,0,0.6,0.49,0.49,2.81,3,0.53,,"LivestockHorseBurro, RoadRailroadCulvert",None,Absent,Absent,Absent,No,Yes,,LA-SS-48261_2022-09-04,{2B8FFC44-36C9-4905-96C5-5B06DE36FFC3}
-108.7854787,42.46332352,4486,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-LS-10281_2022-08-07,LA-LS-10281,Willow Creek,2022/08/07 09:46:00+00,42.46333,-108.78549,42.4632396,-108.7846893,42.46374949,-108.7862474,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,3,EasternXericBasin_SmallWadeable,11.2,35.8,,,,,100,50,100,100,,,,,,,,,,,96.2,8.19,16.7,12.14,,5,18.56,33.3,0.2,7,4.667,3.464,1,0.667,0.029,11.4,13.8,8,88,42,29,,,69,95,67,,,0.26,0.26,0.47,0.47,-1,1,,151,9,0.44,0.19,0,5.25,3.25,3.25,1.88,1.98,1.35,1.07,"HydrologicAlterations, Mining, PastureHayFence, Recreation",Minor,Rare,Absent,Absent,No,Yes,,LA-LS-10281_2022-08-07,{E3566818-A480-4C6F-9786-649890670BAC}
-108.2698088,42.34750849,4499,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-SS-33925_2022-09-15,LA-SS-33925,,2022/09/15 17:40:00+00,42.347515,-108.26982,42.34776,-108.2676,42.34712,-108.27126,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,RandomGRTS,,,1,EasternXericBasin_SmallWadeable,0,0,,,,,0,,100,0,,,,,,,,,,,396.2,7.54,8.5,15.45,,0,0,0,,0,0,0,0,0,0,100,100,1,1,1,1,,,86,100,86,,,0.11,0.11,0.24,0.24,-1,1,,127,0,0.15,0.13,0,3.39,2.54,2.54,3,1.61,0.53,,"LandfillTrash, LivestockHorseBurro, Recreation",None,Absent,Absent,Absent,No,Yes,,LA-SS-33925_2022-09-15,{006AF829-C825-4441-B152-26FB392DEE43}
-108.0097322,42.65150095,4503,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-59155_2022-09-16,LA-TR-59155,West Fork Long Creek,2022/09/16 15:04:00+00,42.65150751,-108.0097434,42.65141,-108.0091,42.65185,-108.00981,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,3,EasternXericBasin_SmallWadeable,11.8,50.5,,,,,9,,100,0,,,,,,,,,,,347,7.78,14.9,15.15,,0,0,0,,0,0,0,0,0,0,76.9,78.4,1,16,2,3,,,78,95,78,,,0.37,0.37,0.65,0.65,-1,1,,117,18,,0.28,46.5,5.11,1.6,1.6,3,1.22,0.79,1.98,"InstreamRestoration, LivestockHorseBurro",None,Rare,Absent,Absent,No,Yes,,LA-TR-59155_2022-09-16,{2269BDDD-6A7D-404B-A1E9-3ECB87CFEFCC}
-107.9845775,42.65050896,4504,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-99714_2022-09-17,LA-TR-99714,East Fork Long Creek,2022/09/17 09:23:00+00,42.65051552,-107.9845887,42.65026621,-107.9851769,42.65114,-107.98442,150,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,2,EasternXericBasin_SmallWadeable,0.5,32.6,,,,,88,,100,100,,,,,,,,,,,271,7.5,10.2,15.42,,2,31.91,13.3,0.49,1,0.667,0.053,0,0,0,87.6,89,1,2,1,2,56,61,95,98,95,,,0.21,0.21,0.61,0.61,-1,1,,136,18,0.32,0.41,0,5.08,2.83,3.09,3,3,0.55,1.3,LivestockHorseBurro,None,Rare,Absent,Absent,No,Yes,,LA-TR-99714_2022-09-17,{D87FD352-0096-40E1-A98A-F94755EB504A}
-108.4816757,42.42660348,4505,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-12024_2022-09-17,LA-TR-12024,Sweetwater River,2022/09/17 16:24:00+00,42.42660998,-108.4816869,42.42637,-108.48017,42.427317,-108.482462,246,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,4,EasternXericBasin_LargeWadeable,0.7,44.6,,,,,100,,100,4,,,,,,,,,,,101.2,7.84,15.9,16.6,,0,0,0,,0,0,0,0,0,0,32.7,33.2,2,240,83,33,,,69,98,69,,,0.36,0.36,0.86,0.86,-1,1,,128,14,0.23,0.51,0,17.25,14.08,14.08,1.59,1.55,0.39,1.14,"LivestockHorseBurro, Recreation, RoadRailroadCulvert",Minor,Common,Absent,Present,No,Yes,,LA-TR-12024_2022-09-17,{2696D6D5-573F-481A-A881-2F2C48CD5025}
-108.4760585,42.42748587,4546,WY_LanderFO,WY,Wind River Bighorn Basin District,Lander Field Office,LA-TR-33223_2022-09-18,LA-TR-33223,Sweetwater River,2022/09/18 14:19:00+00,42.42749237,-108.4760697,42.42864096,-108.4751994,42.42636865,-108.4774975,368,Wadeable,https://aim.landscapetoolbox.org/wp-content/uploads/2020/05/Lotic_FieldProtocolForWadeableSystems_TR1735-2.pdf,Full Reach,Targeted,,,4,EasternXericBasin_LargeWadeable,1.2,41.9,,,,,100,8,100,31,,,,,,,,,,,95.7,8.45,16.8,16.6,,1,6.78,2.7,0.3,1,0.272,0.285,1,0.272,0.012,36.5,37,2,142,40,21,,,55,88,55,,,0.26,0.28,0.76,0.78,-0.92,1.03,,129,18,0.24,0.47,0,18.21,13.2,13.36,1.12,1.17,0.45,1.17,"LandfillTrash, LivestockHorseBurro, Recreation",Minor,Common,Absent,Present,No,Yes,,LA-TR-33223_2022-09-18,{5DB164A8-0FF8-4A79-8A2A-6F6A7E346AC0}
